"Novads","Statuss","DzNor","DzDekl","DzReg","NavSpeka","Kopa"
"ENGURES NOVADS","PĀRĒJIE",0,121,0,5,126
"ĒRGĻU NOVADS","LATVIJAS PILSONIS",0,2900,2,17,2919
"ĒRGĻU NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"ĒRGĻU NOVADS","LATVIJAS NEPILSONIS",0,65,0,6,71
"ĒRGĻU NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"ĒRGĻU NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"ĒRGĻU NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"ĒRGĻU NOVADS","PĀRĒJIE",0,61,0,0,61
"GARKALNES NOVADS","LATVIJAS PILSONIS",2,7543,0,41,7586
"GARKALNES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"GARKALNES NOVADS","LATVIJAS NEPILSONIS",0,674,0,24,698
"GARKALNES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"GARKALNES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"GARKALNES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"GARKALNES NOVADS","PĀRĒJIE",0,580,0,14,594
"GROBIŅAS NOVADS","LATVIJAS PILSONIS",0,8536,2,116,8654
"GROBIŅAS NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"GROBIŅAS NOVADS","LATVIJAS NEPILSONIS",0,367,0,11,378
"GROBIŅAS NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"GROBIŅAS NOVADS","LATVIJAS BEZVALSTNIEKS",0,0,0,0,0
"GROBIŅAS NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
"GROBIŅAS NOVADS","PĀRĒJIE",0,145,0,1,146
"GULBENES NOVADS","LATVIJAS PILSONIS",2,20879,3,191,21075
"GULBENES NOVADS","LATVIJAS PAGAIDU AIZSARDZĪBA",0,0,0,0,0
"GULBENES NOVADS","LATVIJAS NEPILSONIS",0,704,0,23,727
"GULBENES NOVADS","LATVIJAS BĒGLIS",0,0,0,0,0
"GULBENES NOVADS","LATVIJAS BEZVALSTNIEKS",0,1,0,0,1
"GULBENES NOVADS","LATVIJAS ALTERNATĪVAIS",0,0,0,0,0
