Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
VECPIEBALGAS NOVADS,School.Males,9,222,1,4,236
VECPIEBALGAS NOVADS,School.Females,9,194,0,1,204
VECPIEBALGAS NOVADS,Children.All,36,632,1,6,675
VECUMNIEKU NOVADS,Preschool.All,4,555,2,0,561
VECUMNIEKU NOVADS,Preschool.Males,3,288,1,0,292
VECUMNIEKU NOVADS,Preschool.Females,1,267,1,0,269
VECUMNIEKU NOVADS,School.All,2,949,0,1,952
VECUMNIEKU NOVADS,School.Males,1,504,0,0,505
VECUMNIEKU NOVADS,School.Females,1,445,0,1,447
VECUMNIEKU NOVADS,Children.All,6,1504,2,1,1513
VENTSPILS NOVADS,Preschool.All,18,777,0,4,799
VENTSPILS NOVADS,Preschool.Males,10,382,0,3,395
VENTSPILS NOVADS,Preschool.Females,8,395,0,1,404
VENTSPILS NOVADS,School.All,9,1441,2,12,1464
VENTSPILS NOVADS,School.Males,6,761,1,6,774
VENTSPILS NOVADS,School.Females,3,680,1,6,690
VENTSPILS NOVADS,Children.All,27,2218,2,16,2263
VIESĪTES NOVADS,Preschool.All,8,237,0,0,245
VIESĪTES NOVADS,Preschool.Males,5,127,0,0,132
VIESĪTES NOVADS,Preschool.Females,3,110,0,0,113
VIESĪTES NOVADS,School.All,1,444,0,0,445
VIESĪTES NOVADS,School.Males,1,228,0,0,229
VIESĪTES NOVADS,School.Females,0,216,0,0,216
VIESĪTES NOVADS,Children.All,9,681,0,0,690
VIĻAKAS NOVADS,Preschool.All,14,225,2,0,241
VIĻAKAS NOVADS,Preschool.Males,10,111,2,0,123
VIĻAKAS NOVADS,Preschool.Females,4,114,0,0,118
VIĻAKAS NOVADS,School.All,2,599,0,2,603
VIĻAKAS NOVADS,School.Males,1,309,0,1,311
VIĻAKAS NOVADS,School.Females,1,290,0,1,292
VIĻAKAS NOVADS,Children.All,16,824,2,2,844
VIĻĀNU NOVADS,Preschool.All,6,342,0,0,348
VIĻĀNU NOVADS,Preschool.Males,4,164,0,0,168
VIĻĀNU NOVADS,Preschool.Females,2,178,0,0,180
VIĻĀNU NOVADS,School.All,0,646,0,0,646
VIĻĀNU NOVADS,School.Males,0,304,0,0,304
VIĻĀNU NOVADS,School.Females,0,342,0,0,342
VIĻĀNU NOVADS,Children.All,6,988,0,0,994
ZILUPES NOVADS,Preschool.All,4,148,0,0,152
ZILUPES NOVADS,Preschool.Males,1,78,0,0,79
ZILUPES NOVADS,Preschool.Females,3,70,0,0,73
ZILUPES NOVADS,School.All,1,371,0,0,372
ZILUPES NOVADS,School.Males,1,191,0,0,192
ZILUPES NOVADS,School.Females,0,180,0,0,180
ZILUPES NOVADS,Children.All,5,519,0,0,524
