"Darbinieks","Slodze","Alga"
13459,0.163,88.17
2763,0.19,88.19
4104,0.195,88.36
2970,0.19,88.38
24144,0.19,88.38
12617,0.201,88.41
8795,0.19,88.57
18842,0.19,88.76
15027,0.211,88.8
5590,0.19,88.86
23856,0.207,88.87
8328,0.212,89.12
5659,0,89.2
17888,0.071,89.25
1654,0.19,89.3
8592,0.177,89.31
13813,0.19,89.33
5632,0.19,89.52
6654,0.19,89.52
7564,0.19,89.52
12680,0.19,89.52
13735,0.19,89.52
13736,0.19,89.52
14038,0.19,89.52
18101,0.19,89.52
20335,0.19,89.52
21323,0.213,89.52
22248,0.19,89.52
24420,0.19,89.52
7095,0.19,89.68
1121,0.19,89.87
13757,0.215,90
13849,0.2,90
15261,0.192,90.24
12638,0.19,90.29
6870,0.2,90.37
22051,0.2,90.37
14336,0.2,90.4
11933,0.19,90.48
12074,0.177,90.55
21001,0.19,90.86
15638,0.2,91
22625,0.202,91.24
14012,0.19,91.43
14943,0.19,91.43
18022,0.19,91.71
14332,0.19,91.77
22139,0.19,91.77
3983,0.202,91.8
11229,0.19,91.81
3241,0.199,91.98
25158,0.19,92
20734,0.17,92.11
1240,0.19,92.38
23512,0.19,92.38
2563,0.2,92.4
15863,0.2,92.4
25155,0.2,92.4
7407,0.197,92.86
21163,0.2,92.88
2025,0.19,93.33
24715,0.19,93.33
20333,0.19,93.36
8602,0.227,93.61
12151,0.227,93.61
7020,0.209,93.86
22877,0.156,93.86
12457,0.2,94
19079,0.2,94
23458,0.2,94
8953,0,94.27
6724,0.197,94.44
14528,0.225,94.5
6636,0.167,95
12762,0.226,95
16745,0.19,95
3282,0.19,95.05
5432,0.19,95.14
25436,0.19,95.14
6150,0.19,95.24
15725,0.19,95.58
17145,0.19,95.58
10440,0.217,95.78
3427,0.19,95.81
24970,0.19,95.81
18828,0.218,96.23
1793,0.238,96.43
4322,0.238,96.43
5225,0.238,96.43
13422,0.238,96.43
16339,0.191,96.55
11340,0.207,96.62
24897,0.2,97
23436,0.19,97.14
20025,0.19,97.89
8761,0.19,97.98
3158,0.19,98.1
4601,0.19,98.28
3853,0.238,98.33
7933,0.238,98.33
12241,0.197,98.51
14214,0.186,98.57
4945,0.19,98.67
7928,0.236,99
18903,0.19,99.05
12687,0.211,99.11
1209,0.2,99.12
2026,0.19,99.2
3591,0.2,99.81
8011,0.238,100
10147,0.238,100
10831,0.238,100
11273,0.238,100
12728,0.238,100
14560,0.238,100
15412,0.238,100
23429,0.238,100
11042,0.205,100.09
19536,0.227,100.23
12890,0.238,100.33
16698,0.19,100.35
760,0.222,100.44
2366,0.221,100.5
21666,0.22,100.69
175,0.19,100.95
16144,0.19,100.95
20229,0.238,100.96
21744,0.25,101.25
15003,0.218,101.26
5756,0.19,101.46
14975,0.233,101.5
3148,0.19,101.52
7641,0.236,101.59
11866,0.19,101.9
16034,0.227,102
21297,0.227,102
15216,0.218,102.28
7659,0.238,102.38
14939,0.236,102.54
1361,0.245,103
24972,0.2,103
17655,0.22,103.51
6628,0.476,103.57
19979,0.238,103.57
23802,0.19,103.62
9907,0.238,103.67
2618,0.244,103.74
19173,0.19,104
7099,0.227,104.27
14273,0.19,104.34
17281,0.2,104.4
2993,0.19,104.66
14105,0.19,104.76
19754,0.19,104.76
21566,0.219,104.93
4993,0.25,105
6305,0.238,105
9844,0.2,105
11945,0.25,105
12187,0.238,105
1893,0.222,105.1
24891,0.19,105.14
18700,0.238,105.24
25497,0.238,105.24
12936,0.227,105.4
14484,0.2,105.4
13174,0.197,105.42
17708,0.238,105.67
14962,0.234,105.81
13886,0.2,106
271,0.214,106.07
2521,0.17,106.08
17981,0.257,106.2
2512,0.235,106.26
24145,0.23,106.26
174,0.227,106.31
9109,0.213,106.5
12505,0.3,106.59
16949,0.2,106.6
4831,0.19,106.67
