 T.SK. VĪRIEŠI,9,474,0,1,484
 T.SK. SIEVIETES,13,441,0,0,454
 7-18(NEIESKAITOT) GADU VECUMĀ,3,1474,0,4,1481
 T.SK. VĪRIEŠI,2,762,0,2,766
 T.SK. SIEVIETES,1,712,0,2,715
Kopā,25,2389,0,5,2419
STOPIŅU NOVADS,19,965,0,1,985
 T.SK. VĪRIEŠI,16,485,0,1,502
 T.SK. SIEVIETES,3,480,0,0,483
 7-18(NEIESKAITOT) GADU VECUMĀ,4,1278,1,8,1291
 T.SK. VĪRIEŠI,2,674,1,4,681
 T.SK. SIEVIETES,2,604,0,4,610
Kopā,23,2243,1,9,2276
STRENČU NOVADS,6,166,0,0,172
 T.SK. VĪRIEŠI,2,76,0,0,78
 T.SK. SIEVIETES,4,90,0,0,94
 7-18(NEIESKAITOT) GADU VECUMĀ,1,361,0,5,367
 T.SK. VĪRIEŠI,1,195,0,2,198
 T.SK. SIEVIETES,0,166,0,3,169
Kopā,7,527,0,5,539
TALSU NOVADS,41,2046,0,11,2098
 T.SK. VĪRIEŠI,19,1062,0,7,1088
 T.SK. SIEVIETES,22,984,0,4,1010
 7-18(NEIESKAITOT) GADU VECUMĀ,9,3464,0,56,3529
 T.SK. VĪRIEŠI,4,1804,0,31,1839
 T.SK. SIEVIETES,5,1660,0,25,1690
Kopā,50,5510,0,67,5627
TĒRVETES NOVADS,3,216,0,0,219
 T.SK. VĪRIEŠI,3,115,0,0,118
 T.SK. SIEVIETES,0,101,0,0,101
 7-18(NEIESKAITOT) GADU VECUMĀ,1,369,0,1,371
 T.SK. VĪRIEŠI,0,192,0,1,193
 T.SK. SIEVIETES,1,177,0,0,178
Kopā,4,585,0,1,590
TUKUMA NOVADS,29,2328,4,12,2373
 T.SK. VĪRIEŠI,16,1226,2,8,1252
 T.SK. SIEVIETES,13,1102,2,4,1121
 7-18(NEIESKAITOT) GADU VECUMĀ,28,3611,10,57,3706
 T.SK. VĪRIEŠI,19,1845,5,34,1903
 T.SK. SIEVIETES,9,1766,5,23,1803
Kopā,57,5939,14,69,6079
VAIŅODES NOVADS,0,165,0,0,165
 T.SK. VĪRIEŠI,0,82,0,0,82
 T.SK. SIEVIETES,0,83,0,0,83
 7-18(NEIESKAITOT) GADU VECUMĀ,1,307,0,1,309
 T.SK. VĪRIEŠI,1,162,0,0,163
 T.SK. SIEVIETES,0,145,0,1,146
Kopā,1,472,0,1,474
VALKAS NOVADS,15,524,0,0,539
 T.SK. VĪRIEŠI,8,287,0,0,295
 T.SK. SIEVIETES,7,237,0,0,244
 7-18(NEIESKAITOT) GADU VECUMĀ,2,892,0,8,902
 T.SK. VĪRIEŠI,1,471,0,4,476
 T.SK. SIEVIETES,1,421,0,4,426
Kopā,17,1416,0,8,1441
VARAKĻĀNU NOVADS,4,170,0,0,174
 T.SK. VĪRIEŠI,1,99,0,0,100
 T.SK. SIEVIETES,3,71,0,0,74
 7-18(NEIESKAITOT) GADU VECUMĀ,2,352,0,0,354
 T.SK. VĪRIEŠI,1,190,0,0,191
 T.SK. SIEVIETES,1,162,0,0,163
Kopā,6,522,0,0,528
VĀRKAVAS NOVADS,6,110,0,0,116
 T.SK. VĪRIEŠI,2,51,0,0,53
 T.SK. SIEVIETES,4,59,0,0,63
 7-18(NEIESKAITOT) GADU VECUMĀ,12,187,0,0,199
 T.SK. VĪRIEŠI,6,94,0,0,100
 T.SK. SIEVIETES,6,93,0,0,99
Kopā,18,297,0,0,315
VECPIEBALGAS NOVADS,18,216,0,1,235
 T.SK. VĪRIEŠI,9,106,0,1,116
 T.SK. SIEVIETES,9,110,0,0,119
 7-18(NEIESKAITOT) GADU VECUMĀ,18,416,1,5,440
 T.SK. VĪRIEŠI,9,222,1,4,236
 T.SK. SIEVIETES,9,194,0,1,204
Kopā,36,632,1,6,675
VECUMNIEKU NOVADS,4,555,2,0,561
 T.SK. VĪRIEŠI,3,288,1,0,292
 T.SK. SIEVIETES,1,267,1,0,269
 7-18(NEIESKAITOT) GADU VECUMĀ,2,949,0,1,952
 T.SK. VĪRIEŠI,1,504,0,0,505
 T.SK. SIEVIETES,1,445,0,1,447
Kopā,6,1504,2,1,1513
VENTSPILS NOVADS,18,777,0,4,799
 T.SK. VĪRIEŠI,10,382,0,3,395
 T.SK. SIEVIETES,8,395,0,1,404
 7-18(NEIESKAITOT) GADU VECUMĀ,9,1441,2,12,1464
 T.SK. VĪRIEŠI,6,761,1,6,774
 T.SK. SIEVIETES,3,680,1,6,690
Kopā,27,2218,2,16,2263
VIESĪTES NOVADS,8,237,0,0,245
T.SK. VĪRIEŠI,5,127,0,0,132
 T.SK. SIEVIETES,3,110,0,0,113
 7-18(NEIESKAITOT) GADU VECUMĀ,1,444,0,0,445
 T.SK. VĪRIEŠI,1,228,0,0,229
 T.SK. SIEVIETES,0,216,0,0,216
Kopā,9,681,0,0,690
