Location,Category,Pointing,Declaring,Registering,RegistrationNotValid,Total
ENGURES NOVADS,PAREJIE,3,95,0,3,101
ERGLU NOVADS,LATVIJAS PILSONIS,13,3228,0,11,3252
ERGLU NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ERGLU NOVADS,LATVIJAS NEPILSONIS,1,80,0,6,87
ERGLU NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
ERGLU NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
ERGLU NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
ERGLU NOVADS,PAREJIE,0,31,0,0,31
GARKALNES NOVADS,LATVIJAS PILSONIS,40,6647,0,59,6746
GARKALNES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
GARKALNES NOVADS,LATVIJAS NEPILSONIS,4,784,0,25,813
GARKALNES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
GARKALNES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
GARKALNES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
GARKALNES NOVADS,PAREJIE,15,362,0,6,383
GROBINAS NOVADS,LATVIJAS PILSONIS,20,9242,2,96,9360
GROBINAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
GROBINAS NOVADS,LATVIJAS NEPILSONIS,5,484,0,18,507
GROBINAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
GROBINAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
GROBINAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
GROBINAS NOVADS,PAREJIE,7,93,0,0,100
GULBENES NOVADS,LATVIJAS PILSONIS,51,22771,12,186,23020
GULBENES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
GULBENES NOVADS,LATVIJAS NEPILSONIS,2,876,0,30,908
GULBENES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
GULBENES NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
GULBENES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
GULBENES NOVADS,PAREJIE,5,98,0,2,105
IECAVAS NOVADS,LATVIJAS PILSONIS,24,8145,1,146,8316
IECAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
IECAVAS NOVADS,LATVIJAS NEPILSONIS,1,1051,0,53,1105
IECAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
IECAVAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
IECAVAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
IECAVAS NOVADS,PAREJIE,11,104,0,0,115
IKSKILES NOVADS,LATVIJAS PILSONIS,10,8676,1,79,8766
IKSKILES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
IKSKILES NOVADS,LATVIJAS NEPILSONIS,1,317,0,21,339
IKSKILES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
IKSKILES NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
IKSKILES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
IKSKILES NOVADS,PAREJIE,3,100,0,3,106
ILUKSTES NOVADS,LATVIJAS PILSONIS,7,7677,0,44,7728
ILUKSTES NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
ILUKSTES NOVADS,LATVIJAS NEPILSONIS,1,706,0,7,714
ILUKSTES NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
ILUKSTES NOVADS,LATVIJAS BEZVALSTNIEKS,0,1,0,0,1
ILUKSTES NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
ILUKSTES NOVADS,PAREJIE,0,113,0,0,113
INCUKALNA NOVADS,LATVIJAS PILSONIS,22,6525,5,178,6730
INCUKALNA NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
INCUKALNA NOVADS,LATVIJAS NEPILSONIS,2,1348,1,90,1441
INCUKALNA NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
INCUKALNA NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
INCUKALNA NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
INCUKALNA NOVADS,PAREJIE,9,204,0,4,217
JAUNJELGAVAS NOVADS,LATVIJAS PILSONIS,47,5745,2,24,5818
JAUNJELGAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JAUNJELGAVAS NOVADS,LATVIJAS NEPILSONIS,1,407,1,50,459
JAUNJELGAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
JAUNJELGAVAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
JAUNJELGAVAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JAUNJELGAVAS NOVADS,PAREJIE,0,29,0,0,29
JAUNPIEBALGAS NOVADS,LATVIJAS PILSONIS,23,2452,3,14,2492
JAUNPIEBALGAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JAUNPIEBALGAS NOVADS,LATVIJAS NEPILSONIS,0,50,0,0,50
JAUNPIEBALGAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
JAUNPIEBALGAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
JAUNPIEBALGAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JAUNPIEBALGAS NOVADS,PAREJIE,1,3,0,0,4
JAUNPILS NOVADS,LATVIJAS PILSONIS,4,2592,0,10,2606
JAUNPILS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JAUNPILS NOVADS,LATVIJAS NEPILSONIS,0,81,0,4,85
JAUNPILS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
JAUNPILS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
JAUNPILS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JAUNPILS NOVADS,PAREJIE,0,4,0,0,4
JELGAVAS NOVADS,LATVIJAS PILSONIS,87,21988,1,206,22282
JELGAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JELGAVAS NOVADS,LATVIJAS NEPILSONIS,14,3437,3,141,3595
JELGAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
JELGAVAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
JELGAVAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JELGAVAS NOVADS,PAREJIE,12,255,0,6,273
JEKABPILS NOVADS,LATVIJAS PILSONIS,10,5150,3,44,5207
JEKABPILS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
JEKABPILS NOVADS,LATVIJAS NEPILSONIS,0,162,0,4,166
JEKABPILS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
JEKABPILS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
JEKABPILS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
JEKABPILS NOVADS,PAREJIE,3,14,1,0,18
KANDAVAS NOVADS,LATVIJAS PILSONIS,28,9122,3,85,9238
KANDAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
KANDAVAS NOVADS,LATVIJAS NEPILSONIS,2,268,0,4,274
KANDAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
KANDAVAS NOVADS,LATVIJAS BEZVALSTNIEKS,0,0,0,0,0
KANDAVAS NOVADS,LATVIJAS ALTERNATIVAIS,0,0,0,0,0
KANDAVAS NOVADS,PAREJIE,16,27,0,1,44
KARSAVAS NOVADS,LATVIJAS PILSONIS,18,6142,1,34,6195
KARSAVAS NOVADS,LATVIJAS PAGAIDU AIZSARDZIBA,0,0,0,0,0
KARSAVAS NOVADS,LATVIJAS NEPILSONIS,0,281,0,9,290
KARSAVAS NOVADS,LATVIJAS BEGLIS,0,0,0,0,0
